Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
45,10.17576/jsm-2020-4912-26,2020,Au/CNF,Au_C,SCE,Sat.,GCE,KOH,1,"0,5",50,14,"-0,4","-0,1",45,,"-0,156","0,144","0,3"
45,10.17576/jsm-2020-4912-26,2020,Pd/CNF,Pd_C,SCE,Sat.,GCE,KOH,1,"0,5",50,14,"-0,4","-0,12",50,,"-0,156","0,124","0,28"
45,10.17576/jsm-2020-4912-26,2020,PdAu/CNF,Pd_Au_C,SCE,Sat.,GCE,KOH,1,"0,5",50,14,"-0,4","-0,09",70,,"-0,156","0,154","0,31"
46,10.1039/D0TA02509G,2020,75ALD(SnO2)-Pt/C (HT),Pt_Sn_O_C,SHE,standard,GCE,H2SO4,"0,5",2,50,"0,24","0,556","0,856","0,428","0,22","0,556","0,856","0,3"
47,10.1039/d0na00252f,2020,PtPd@Ag-NH3,Pt_Pd_Ag,RHE,standard,GCE,HClO4,"0,1",1,10,1,"0,57","0,83","0,59","0,08","0,511","0,771","0,26"
47,10.1039/d0na00252f,2020,PtPd@Ag-NH3,Pt_Ag,RHE,standard,GCE,KOH,"0,1",1,10,"12,7","0,68","0,99","6,05","0,08","-0,0693","0,2407","0,31"
48,10.1016/j.ijhydene.2020.08.104,2020,Pt1.3/Au0.4/Ag100/ C,Pt_Au_Ag_C,SCE,sat.,GCE,NaOH,"0,5","0,1",50,"13,67","-0,62","-0,16","33,6","0,043","-0,376","0,084","0,46"
48,10.1016/j.ijhydene.2020.08.104,2020,Au0.4/Ag100/C,Au_Ag_C,SCE,Sat.,GCE,NaOH,"0,5","0,1",50,"13,67","-0,3","0,09","20,3","0,0013","-0,056","0,334","0,39"
49,10.1016/j.ijhydene.2020.06.082,2020,Pd3Ir/g-C3N4 ,Pd_Ir_C_N,Ag/AgCl,Sat.,FTO,KOH,1,1,,14,"-0,4286","-0,219","352,63",,"-0,2296","-0,02","0,2096"
50,10.1016/j.catcom.2020.105964,2020,P-doped Pd/CNT,Pd_CNT_P,Ag/AgCl,Sat.,GCE,KOH,"0,5","0,5",50,"13,56","-0,3439",0,26,"0,2","-0,1449","0,199","0,3439"
51,10.1016/j.electacta.2019.135161,2019,Pt0.9Bi0.1/C,Pt_Bi_C,RHE,standard,GCE,NaOH,"0,1","0,1",5,"12,96","0,3","0,83966",11,"0,1","-0,46464","0,07502","0,53966"
52,10.1021/acsami.9b22378,2020,Ni90Bi10,Ni_Bi,RHE,standard,GCE,KOH,1,"0,1",50,14,"1,33","0,69","93,03",2,"0,504","-0,136","-0,64"
53,10.1016/j.jcat.2019.10.037,2019,PdAu@Ag,Pd_Au_Ag,RHE,standard,GCE,KOH,"0,1",1,10,"12,7","0,58","1,01","3,39",,"-0,1693","0,2607","0,43"
53,10.1016/j.jcat.2019.10.037,2019,Au@Ag,Au_Ag,RHE,standard,GCE,KOH,"0,1",1,10,"12,7","0,71","1,41",2,,"-0,0393","0,6607","0,7"
53,10.1016/j.jcat.2019.10.037,2019,Pd/C,Pd_C,RHE,standard,GCE,KOH,"0,1",1,10,"12,7","0,73","1,06","0,93",,"-0,0193","0,3107","0,33"
53,10.1016/j.jcat.2019.10.037,2019,Au,Au,RHE,standard,GCE,KOH,"0,1",1,10,"12,7","0,76","1,37","0,01",,"0,0107","0,6207","0,61"
54,10.1002/elan.201900611,2020,20 % Pd/MWCNT ,Pd_CNT,NHE,standard,GCE,KOH,"0,5","0,1",30,"13,67","-0,3","0,1878","9,906",,"-0,3","0,1878","0,4878"
55,10.1002/advs.202105344,2022,PtNDs@CoS2-NrGO ,Pt_Co_S_N_rGO,Ag/AgCl,Sat.,GCE,H2SO4,"0,5",1,50,"0,24","0,39","0,66582","0,43812","0,001","0,589","0,86482","0,27582"
56,10.1016/j.apcatb.2023.123104,2023,SbOx-Pt/OMC-2,Sb_O_Pt_OMC,RHE,standard,GCE,H2SO4,"0,5",2,50,"-0,31","0,723","0,9205","54,40554","0,1998","0,74129","0,93879","0,1975"
57,10.1016/j.mcat.2022.112874,2023,Pt@PdS2-MWCNT,Pt_Pd_S_CNT,Ag/AgCl,Sat.,GCE,H2SO4,"0,5",1,50,"0,24","0,353","0,6","58,44",,"0,552","0,799","0,247"
58,10.1016/j.ijhydene.2012.12.030,2013,Pd/MWCNT/PMMA,Pd_CNT,NHE,standard,Pol,KOH,"0,3","0,1",20,"13,44","-0,2497","0,005",25,"1,6","-0,2497","0,005","0,2547"
58,10.1016/j.ijhydene.2012.12.030,2013,Pd/C/PMMA,Pd_C,NHE,standard,Pol,KOH,"0,3","0,1",20,"13,44","-0,2","0,045","13,86","1,3","-0,2","0,045","0,245"
59,10.1002/celc.202201114,2023,Pt7Cu3/C,Pt_Cu_C,Ag/AgCl,Sat.,CP,H2SO4,"0,5",2,20,"-0,31","0,348","0,63","3,8785",5,"0,547","0,829","0,282"
59,10.1002/celc.202201114,2023,Pt/C,Pt_C,Ag/AgCl,Sat.,CP,H2SO4,"0,5",2,20,"-0,31","0,465","0,63","3,56074",5,"0,664","0,829","0,165"
60,10.1016/j.carbon.2022.11.067,2022,Au nanoflower/CP,Au,RHE,standard,CP,NaOH,"0,1","0,1",,"12,96",1,"1,22",28,,"0,23536","0,45536","0,22"
61,10.1016/j.electacta.2023.143344,2023,PdBx/NG,Pd_B_NG,Hg/HgO,Sat.,GCE,KOH,1,1,50,14,"-0,263889","-0,0472223","8,55",,"-0,403889","-0,1872223","0,2166667"
61,10.1016/j.electacta.2023.143344,2023,Pd/NG,Pd_NG,Hg/HgO,Sat.,GCE,KOH,1,1,50,14,"-0,16112","-0,0528","4,43",,"-0,30112","-0,1928","0,10832"
62,10.1016/j.cej.2023.142446,2023,PdPtCo NRs,Pd_Pt_Co,RHE,standard,GCE,KOH,1,"0,1",50,"12,96","0,56286","0,8","13,6",,"-0,20178","0,03536","0,23714"
63,10.1016/j.cplett.2023.140864,2023,Ni1.5Fe13.5@Pd85/C,Ni_Fe_Pd_C,RHE,standard,GCE,KOH,1,1,20,14,"0,6","0,85172","8,72",,"-0,226","0,02572","0,25172"
64,10.1080/15567036.2019.1683099,2023,Pt/CNT,Pt_CNT,RHE,standard,CF,KOH,"0,5","0,5",50,"13,56","0,47102","0,7637","1,7281","0,1571","-0,32902","-0,03634","0,29268"
65,10.1038/s41598-023-40374-4,2023,PdNiSn/GC (Pd:Ni:Sn=2:1:1),Pd_Ni_Sn,RHE,standard,GCE,KOH,"0,1","0,3",50,"13,56","0,6","0,85","17,5",,"-0,20004","0,04996","0,25"
66,10.1016/j.apsusc.2022.155225,2022,PtIr THH,Pt_Ir,SCE,Sat.,GCE,HClO4,1,1,50,0.00436,"-0,5711","-0,2434","17,6",,"-0,3271","0,000599999999999989","0,3277"
67,10.1016/j.ijhydene.2022.12.055,2022,PdCu@Pd/C,Pd_Cu_Pd_C,RHE,standard,GCE,KOH,1,1,50,14,"0,6376","0,887","13,6",,"-0,1884","0,0610000000000001","0,2494"
